keep,2012-08-24,17:12:25,188.163.32.33,UA,Ukraine,Kiev,12,Kyyiv,50.4333,30.5167,"Mozilla/5.0 (Linux; U; Android 2.3.3; ru-ru; GT-S5660 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-08-24,17:12:57,1345842749737:::Russia
keep,2012-09-30,02:14:43,188.255.38.78,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 4.0.4; ru-ru; GT-N7000 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-30,02:16:37,1348985671753:::Russia
keep,2012-05-20,02:56:23,188.65.69.206,RU,Russian Federation,Saint Petersburg,66,Saint Petersburg City,59.8944,30.2642,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-I9001 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-20,02:56:42,1337511175975:::Russia
keep,2012-07-02,13:24:34,194.186.188.120,RU,Russian Federation,Saint Petersburg,66,Saint Petersburg City,59.8944,30.2642,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; A500 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-07-02,13:26:14,1341250080293:::Russia
keep,2012-06-09,01:45:09,2.60.180.71,RU,Russian Federation,Omsk,54,Omsk,55,73.4,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; R800i Build/4.0.2.A.0.42) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-06-09,01:45:47,1339220730876:::Russia
keep,2012-08-16,15:32:06,213.111.120.81,UA,Ukraine,Kiev,12,Kyyiv,50.4333,30.5167,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; HTC Explorer A310e Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-08-16,15:32:19,1345145572370
keep,2012-05-13,04:50:05,213.87.129.122,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.3.4; ru-ru; GT-S5570 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-13,04:51:00,1336899020393:::Sussex
keep,2012-07-26,11:35:28,213.87.137.184,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S5830i Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-07-26,16:33:42,1343304757397:::Sussex
keep,2012-07-01,12:14:40,213.87.241.126,RU,Russian Federation,Yekaterinburg,71,Sverdlovsk,56.8519,60.6122,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-I9003 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-07-01,12:16:38,1341159278610:::Russia
keep,2012-05-06,08:57:52,217.114.234.150,RU,Russian Federation,Yekaterinburg,71,Sverdlovsk,56.8519,60.6122,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-P1010 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-06,08:58:39,1336309177210:::Russia
keep,2012-06-16,09:36:19,217.118.66.25,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2; ru-ru; GT-P6800 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-06-16,09:37:20,1339853858738
keep,2012-09-15,18:36:21,217.118.66.28,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.2.1; ru-ru; GT-I9003 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-15,18:39:15,1347748579954:::Sussex
keep,2012-05-14,01:51:30,217.118.66.5,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2.1; ru-ru; A101 Build/HTK55D) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-14,01:51:54,1336989058428
